NumOfClaps,NumOfComments,articleTags,linkOfAuthorProfile,nameOfAuthor,postingTime,readingTime,articleLink,names
,,"Adphorus News,Auto Bidding,Budget,Data Science",https://blog.adphorus.com/@adphorus,Adphorus,"Jan 31, 2014",3 min read,https://blog.adphorus.com/data-science-and-adphorus-aeb2cd249136,data science and adphorus
,,"Big Data,Data Science",https://theumlaut.com/@theumlaut,The Ümlaut,"Jan 30, 2014",4 min read,https://theumlaut.com/data-mining-it-aint-all-that-96c7c81226c2,data mining it aint all that
,,"Health,Data Science,Social Media",https://medium.com/@OpexAnalytics,Opex Analytics,"Jan 2, 2014",2 min read,https://medium.com/opex-analytics/using-data-science-to-better-predict-demand-case-from-twitter-and-the-flu-season-9be037ddd175,using data science to better predict demand case from twitter and the flu season
,,"Retail,Analytics,Data Visualization,Data Science",https://medium.com/@OpexAnalytics,Opex Analytics,"Jan 6, 2014", ,https://medium.com/opex-analytics/heat-maps-track-customers-in-store-a-chance-to-apply-analytics-for-a-better-customer-experience-90b03cae4577,heat maps track customers in store a chance to apply analytics for a better customer experience
1 clap,,"Data Mining,Maps,Data Science,Mexico",https://medium.com/@josecarlosgonz,Jose Carlos González,"Jan 15, 2014", ,https://medium.com/pepe-carlos-blog/data-science-in-mexico-2131c92bb762,data science in mexico
,,"Wheel Of Fortune,Data Science,Data Visualization",https://medium.com/@edweng,Ed Weng,"Jan 4, 2014",2 min read,https://medium.com/@edweng/ohgb-beating-the-wheel-of-fortune-bonus-round-ef9f47847124,ohgb beating the wheel of fortune bonus round
2 claps,,Data Science,https://medium.com/@idavchev,Ivan Davchev,"Jan 30, 2014",2 min read,https://medium.com/@idavchev/so-you-want-to-be-a-data-scientist-6aa1a27991ce,so you want to be a data scientist
,,"Data Science,Business Intelligence",https://medium.com/@key2market,Key2Market,"Jan 9, 2014",2 min read,https://medium.com/@key2market/data-warehouse-design-on-amazon-redshift-ce0b359448a,data warehouse design on amazon redshift
,,"Machine Learning,Neural Networks,Data Science,Image Processing",https://medium.com/@aveysov,Alexander Veysov,"Jan 22, 2014",6 min read,https://medium.com/@aveysov/solving-class-imbalance-on-google-open-images-cf9e890bb146,solving class imbalance on google open images
3 claps,,"Insight Data Science,Data Science",https://blog.insightdatascience.com/@InsightData,Insight,"Feb 20, 2014",6 min read,https://blog.insightdatascience.com/find-and-watch-tv-shows-on-youtube-with-couchtube-net-78d7c1a7fa6,find and watch tv shows on youtube with couchtube net
,,"Supply Chain,Data Science,Analytics",https://medium.com/@OpexAnalytics,Opex Analytics,"Feb 25, 2014", ,https://medium.com/opex-analytics/lack-of-analytics-skills-may-be-holding-up-your-supply-chain-f83749f29a26,lack of analytics skills may be holding up your supply chain
1 clap,,"Big Data,Analytics,Data Science,Data Analysis,Innovation",https://medium.com/@UTexasMcCombs,Texas McCombs,"Feb 5, 2014",5 min read,https://medium.com/texas-mccombs/data-the-next-frontier-839388867cdb,data the next frontier
,,"Python,Data Science",https://medium.com/@harleykwyn,Kwyn Alice Meagher,"Feb 26, 2014",8 min read,https://medium.com/@harleykwyn/so-you-want-to-be-a-kaggle-wizard-927484d72540,so you want to be a kaggle wizard
,,"Insight Data Science,Data Science",https://blog.insightdatascience.com/@InsightData,Insight,"Mar 14, 2014",3 min read,https://blog.insightdatascience.com/insight-data-science-fellows-program-launches-new-york-session-af0801fcb56e,insight data science fellows program launches new york session
1 clap,,"Insight Data Science,Data Science",https://blog.insightdatascience.com/@InsightData,Insight,"Mar 6, 2014",6 min read,https://blog.insightdatascience.com/fellow-spotlight-shelby-sturgis-ad24757982de,fellow spotlight shelby sturgis
,,"Supply Chain,Data Science,Data Cleaning,Data Engineering",https://medium.com/@OpexAnalytics,Opex Analytics,"Mar 16, 2014", ,https://medium.com/opex-analytics/spending-your-analytics-time-where-it-counts-8ea0c9725ae7,spending your analytics time where it counts
,,"Data Science,Analytics,Machine Learning,Technology Management,Business Analytics",https://medium.com/@OpexAnalytics,Opex Analytics,"Mar 12, 2014", ,https://medium.com/opex-analytics/managers-need-to-know-technical-details-of-analytics-92e7153ef963,managers need to know technical details of analytics
,,"Big Data,Data Science,Machine Learning,Predictive Analytics",https://medium.com/@OpexAnalytics,Opex Analytics,"Mar 18, 2014", ,https://medium.com/opex-analytics/predictions-that-save-big-money-a995fac52967,predictions that save big money
50 claps,,"Women,Data Science,Coursera",https://medium.com/@CourseraEng,Coursera,"Mar 8, 2014",7 min read,https://medium.com/coursera-engineering/what-about-the-women-668638540946,what about the women
4 claps,,"Big Data,Analytics,Discovery,Datascience,Hadoop",https://medium.com/@Pinterest_Engineering,Pinterest Engineering,"Mar 6, 2014",5 min read,https://medium.com/@Pinterest_Engineering/creating-serving-amp-storing-data-for-discovery-3f9f9ce7c139,creating serving amp storing data for discovery
,,"Sports,Big Data,Data Science,April Fools",https://medium.com/@OpexAnalytics,Opex Analytics,"Mar 31, 2014",3 min read,https://medium.com/opex-analytics/our-ongoing-analytics-project-with-the-nfl-winning-more-games-63a3d35c0745,our ongoing analytics project with the nfl winning more games
1 clap,,"Data Science,Computer Science,Engineering,Big Data",https://engineering.tapad.com/@tapadeng,Tapad Engineering,"Apr 7, 2014",7 min read,https://engineering.tapad.com/data-inference-drinking-with-the-dude-2f64fabdf410,data inference drinking with the dude
,,"Supply Chain,Maps,Data Science",https://medium.com/@OpexAnalytics,Opex Analytics,"Apr 2, 2014", ,https://medium.com/opex-analytics/benefits-of-map-portals-for-your-analytics-projects-e1b73892f1c1,benefits of map portals for your analytics projects
,,"Data,Data Science,Tutorial",https://sense.porganized.com/@POrg,Peter Organisciak,"Apr 16, 2014", ,https://sense.porganized.com/add-user-pseudonyms-in-data-analysis-f7cfcaf5848a,add user pseudonyms in data analysis
,,"Big Data,Data Science,Artificial Intelligence,Machine Learning",https://medium.com/@OpexAnalytics,Opex Analytics,"Apr 10, 2014", ,https://medium.com/opex-analytics/wsj-article-on-the-importance-of-analytics-to-your-career-afccfe2f3e0b,wsj article on the importance of analytics to your career
2 claps,,"Insight Data Science,Data Science",https://blog.insightdatascience.com/@InsightData,Insight,"Apr 24, 2014",4 min read,https://blog.insightdatascience.com/placepickr-helping-couples-decide-where-to-live-e2f26f95a0a1,placepickr helping couples decide where to live
18 claps,,"Insight Data Science,Data Science",https://blog.insightdatascience.com/@InsightData,Insight,"Apr 16, 2014",5 min read,https://blog.insightdatascience.com/preparing-for-insight-ca7cc6087f91,preparing for insight
,,"Programming,Optimization,Data Science,Scheduling",https://medium.com/@OpexAnalytics,Opex Analytics,"Apr 13, 2014", ,https://medium.com/opex-analytics/sample-custom-optimization-scheduling-problem-e659c1baaf65,sample custom optimization scheduling problem
,,"Supply Chain,Big Data,Data Engineering,Data Science",https://medium.com/@OpexAnalytics,Opex Analytics,"Apr 13, 2014",2 min read,https://medium.com/opex-analytics/big-data-applied-to-the-supply-chain-ebd50647af2b,big data applied to the supply chain
,,"Machine Learning,Data Science,Data Cleaning",https://medium.com/@OpexAnalytics,Opex Analytics,"Apr 16, 2014",3 min read,https://medium.com/opex-analytics/technical-note-on-calculating-many-distances-for-analytics-projects-f48a39f8bb69,technical note on calculating many distances for analytics projects
,,"Data Science,Python",https://medium.com/@maciejb,Maciej Biłas,"Apr 22, 2014",2 min read,https://medium.com/@maciejb/adventures-with-python-warsaws-bike-parkings-ebe3b19098fa,adventures with python warsaws bike parkings
,,"Insight Data Science,Data Science",https://blog.insightdatascience.com/@InsightData,Insight,"May 13, 2014",8 min read,https://blog.insightdatascience.com/pick-your-fiction-and-your-career-233cdea00725,pick your fiction and your career
8 claps,,"Machine Learning,Data Science,Gradient Descent,Algorithms,Deep Learning",https://hackernoon.com/@frag,Francesco Gadaleta,"May 30, 2014",4 min read,https://hackernoon.com/gradient-descent-vs-coordinate-descent-9b5657f1c59f,gradient descent vs coordinate descent
,,"Fintech,Big Data,Technology,Data Science,Business",https://medium.com/@tulliosiragusa,Tullio Siragusa,"May 22, 2014",8 min read,https://medium.com/@tulliosiragusa/can-micro-contextual-analytics-transform-banks-into-customer-centric-leaders-f7a65403ca54,can micro contextual analytics transform banks into customer centric leaders
,,"Data Science,Data,Engineering,Discovery,Trends",https://medium.com/@Pinterest_Engineering,Pinterest Engineering,"May 14, 2014",3 min read,https://medium.com/@Pinterest_Engineering/understanding-usage-patterns-with-data-cf356b2e732e,understanding usage patterns with data
57 claps,2.0,"Maps,Data Science,Big Data",https://medium.com/@stravaeng,Strava Engineering,"May 15, 2014",3 min read,https://medium.com/strava-engineering/what-do-220-000-000-000-data-points-look-like-d267107d9aa7,what do 220 000 000 000 data points look like
441 claps,2.0,"Experiments,Developer Tools,Data Science,Experimentation",https://medium.com/@airbnbeng,AirbnbEng,"May 29, 2014",6 min read,https://medium.com/airbnb-engineering/experiment-reporting-framework-4e3fcd29e6c0,experiment reporting framework
46 claps,,"Data Science,Product Management,Anyperk",https://anyperk.engineering/@drewdil,Drew Dillon,"Jun 18, 2014",6 min read,https://anyperk.engineering/how-we-use-data-at-anyperk-5a01ae81fcf6,how we use data at anyperk
,,"Recruiting,Data Science,Analytics",https://medium.com/@OpexAnalytics,Opex Analytics,"Jun 10, 2014", ,https://medium.com/opex-analytics/another-benefit-of-analytics-recruiting-talent-41f8907a5863,another benefit of analytics recruiting talent
1 clap,,"Big Data,GIS,Data Science,Open Data,Environment",https://medium.com/@planetos,Planet OS,"Jun 16, 2014",3 min read,https://medium.com/planet-os/marinexplore-becomes-planet-os-1f80a329f619,marinexplore becomes planet os
4 claps,,"Ruby on Rails,Database,Data Science,Software Development,Software Engineering",https://medium.com/@rainforestqa,Rainforest QA,"Jun 26, 2014",4 min read,https://medium.com/deployment-academy/how-to-do-zero-downtime-database-migrations-9d2d9eb37508,how to do zero downtime database migrations
4 claps,,"Product Management,Growth,Data Science",https://medium.com/@drewdil,Drew Dillon,"Jun 25, 2014",4 min read,https://medium.com/product-man/are-we-viral-e1fe790933e6,are we viral
167 claps,1.0,"Algorithms,Analytics,Big Data,Data Science,Predictive Modeling",https://medium.com/@NetflixTechBlog,Netflix Technology Blog,"Jun 10, 2014",6 min read,https://medium.com/netflix-techblog/optimizing-the-netflix-streaming-experience-with-data-science-725f04c3e834,optimizing the netflix streaming experience with data science
,,"Big Data,Data Science,Data Engineering",https://medium.com/@OpexAnalytics,Opex Analytics,"Jul 26, 2014",2 min read,https://medium.com/opex-analytics/economist-article-use-big-data-to-drive-many-small-changes-that-add-up-3fa79bf29447,economist article use big data to drive many small changes that add up
,,"Machine Learning,Probabilistic Programming,Big Data,Data Science,Deep Learning",https://medium.com/@lauradinneen,Laura Dinneen,"Jul 10, 2014",3 min read,https://medium.com/@lauradinneen/power-and-productivity-the-next-step-for-big-data-407e8cd2beb8,power and productivity the next step for big data
,1.0,"Healthcare,Physician Quality,Data Science",https://medium.com/@GrandRounds,Grand Rounds,"Jul 9, 2014",2 min read,https://medium.com/@GrandRounds/do-you-really-want-to-see-the-first-available-doctor-48c234249839,do you really want to see the first available doctor
,,"Topic Modeling,Data Science,Machine Learning",https://medium.com/@helpshift_tech,Helpshift Engineering Team,"Jul 20, 2014",2 min read,https://medium.com/helpshift-engineering/grouping-similar-messages-using-topic-modeling-7ed4d77d067c,grouping similar messages using topic modeling
8 claps,,"Big Data,Hadoop,Datascience,MySQL,Infrastructure",https://medium.com/@Pinterest_Engineering,Pinterest Engineering,"Jul 23, 2014",8 min read,https://medium.com/@Pinterest_Engineering/powering-big-data-at-pinterest-3c4836e2b112,powering big data at pinterest
,,"Optimization,Adphorus,Data Science",https://blog.adphorus.com/@adphorus,Adphorus,"Aug 7, 2014",4 min read,https://blog.adphorus.com/the-data-science-behind-adphorus-algorithmic-optimization-engine-marvin-dc17c99e9e0d,the data science behind adphorus algorithmic optimization engine marvin
188 claps,8.0,"Insight Data Engineering,Data Engineering,Data Science,Big Data,Training",https://blog.insightdatascience.com/@InsightData,Insight,"Aug 7, 2014",4 min read,https://blog.insightdatascience.com/data-science-vs-data-engineering-62da7678adaa,data science vs data engineering
,,"Data Science,Analytics",https://amplitude.engineering/@AmplitudeEng,Amplitude Engineering,"Aug 6, 2014",5 min read,https://amplitude.engineering/optimal-streaming-histograms-2af47e0cfcb2,optimal streaming histograms
