NumOfClaps,NumOfComments,articleTags,linkOfAuthorProfile,nameOfAuthor,postingTime,readingTime,articleLink,names
12 claps,2.0,"Big Data,Data Science,Visualization",https://medium.com/@robbieallen,Robbie Allen,"Jan 7, 2013",4 min read,https://medium.com/@robbieallen/dashboards-aren-t-the-answer-f591d5c5e3dc,dashboards aren t the answer
84 claps,8.0,"Big Data,Hadoop,Cloud,Cloud Architecture,Data Science",https://medium.com/@NetflixTechBlog,Netflix Technology Blog,"Jan 10, 2013",11 min read,https://medium.com/netflix-techblog/hadoop-platform-as-a-service-in-the-cloud-c23f35f965e7,hadoop platform as a service in the cloud
5 claps,,"Big Data,Data Science",https://medium.com/@gregsands,Greg Sands,"Feb 26, 2013",3 min read,https://medium.com/@gregsands/what-the-is-applied-big-data-bd746082305,what the is applied big data
,,"Analytics,Big Data,Data Science",https://medium.com/@MarcosOrtiz,Marcos Ortiz,"Mar 8, 2013",3 min read,https://medium.com/a-data-driven-guy/data-scientists-the-world-need-us-f31dec7ef2d8,data scientists the world need us
,,"Cloudera,Data,Data Science",https://medium.com/@MarcosOrtiz,Marcos Ortiz,"Mar 7, 2013",2 min read,https://medium.com/a-data-driven-guy/data-science-paradigms-4183a3e5abb5,data science paradigms
1 clap,,"Big Data,Column Based Databases,Data Science",https://medium.com/@MarcosOrtiz,Marcos Ortiz,"Mar 7, 2013",7 min read,https://medium.com/a-data-driven-guy/the-rise-of-column-based-data-stores-part-1-cea72e7a8ed5,the rise of column based data stores part 1
71 claps,,"Data Science,Ab Testing,Statistics,Commercial,Homepage",https://booking.ai/@matseinarsen,Mats Einarsen,"Apr 18, 2013",3 min read,https://booking.ai/is-your-a-b-testing-effort-just-chasing-statistical-ghosts-eb85602bef7e,is your a b testing effort just chasing statistical ghosts
,,"Personal,Big Data,Content Cows,Content Farms,Data Science",https://inadequate.net/@inadequatenet,William O. Pate II,"Apr 22, 2013",4 min read,https://inadequate.net/small-thoughts-blogging-freedom-and-privacy-117aeb396a0f,small thoughts blogging freedom and privacy
1 clap,,"Data Science,Gaming,Predictive Analytics",https://medium.com/@MarcosOrtiz,Marcos Ortiz,"Apr 12, 2013",4 min read,https://medium.com/a-data-driven-guy/data-driven-games-development-rockstars-9ca18dc8e75d,data driven games development rockstars
,,"Cloud Computing,Technology,Data,Data Science,Adaitgpi",https://medium.com/@svg.world,Sanchit Vir Gogia,"May 21, 2013", ,https://medium.com/@svg.world/questions-cios-often-ask-on-master-data-management-1474d5b76c26,questions cios often ask on master data management
,1.0,"Data Science,Predictive Analytics,Persuasion",https://medium.com/@happybandits,Arjan Haring,"May 23, 2013",3 min read,https://medium.com/@happybandits/eric-siegel-on-persuadable-customers-chicks-8ce81bb9735e,eric siegel on persuadable customers chicks
5 claps,,"Data Science,Physics,Education",https://medium.com/@ellisonbg,Brian E. Granger,"May 22, 2013",4 min read,https://medium.com/@ellisonbg/will-we-ever-get-past-classical-physics-ff02c972fd12,will we ever get past classical physics
156 claps,2.0,"Data Science,Search",https://medium.com/@airbnbeng,AirbnbEng,"May 1, 2013",7 min read,https://medium.com/airbnb-engineering/location-relevance-at-airbnb-12c004247b07,location relevance at airbnb
,,"Personal,Big Data As Big Brother,Coding,Commencement,Data Science",https://inadequate.net/@inadequatenet,William O. Pate II,"Jun 22, 2013",4 min read,https://inadequate.net/weekend-reading-22-23-june-2013-c426b5424339,weekend reading 22 23 june 2013
,,"Big Data,Data Science,Machine Learning,Optimization,Operations",https://medium.com/@OpexAnalytics,Opex Analytics,"Jun 23, 2013", ,https://medium.com/opex-analytics/welcome-to-the-opex-blog-d9fd5731cc4,welcome to the opex blog
,,"Programming,Data Science",https://medium.com/@vishal_s,Vishal S.,"Jun 21, 2013",7 min read,https://medium.com/@vishal_s/i-see-graphs-66a0a55088b1,i see graphs
11 claps,1.0,"Big Data,Data Science,Hadoop,Netflix Oss,Apache Pig",https://medium.com/@NetflixTechBlog,Netflix Technology Blog,"Jun 25, 2013",3 min read,https://medium.com/netflix-techblog/introducing-lipstick-on-a-pache-pig-f17e0a4e0c89,introducing lipstick on a pache pig
2 claps,,"Insight Data Science,Data Science",https://blog.insightdatascience.com/@InsightData,Insight,"Jul 31, 2013", ,https://blog.insightdatascience.com/welcome-to-the-insight-blog-2-7581752e9fe1,welcome to the insight blog 2
